id,group,introversion,openness,boldness,calmness,ssb_count,dsb_count,total_mount_count,groom_count,aggression_count,coalition_count,self_groom_count,masturbation_count,davids_score,observability,age
M020,2,0.322385155,-1.151673323,-0.933765032,1.226056162,0,3,3,24,77,21,4,0,-16.33333333,1.022067972,7848
M035,2,3.551310844,1.936753222,-1.13059115,2.993226735,2,0,2,11,35,2,4,2,24.75,0.845890792,6148
M041,2,2.334380481,0.49628172,1.085721874,1.554227036,3,11,14,40,90,32,6,3,100.4166667,1.446060894,4390
M044,2,1.815710388,0.710803958,0.686881775,-1.032596497,0,11,11,17,61,9,6,1,58.41666667,0.999388042,4005
M053,2,-0.058225754,-0.31621858,0.463256892,0.155218612,0,23,23,48,94,19,4,1,155.5666667,0.984858408,6471
M062,2,1.414402405,-1.676503455,3.036151379,-1.352096564,8,16,24,41,144,32,6,2,139.8333333,1.538814883,3976
M077,2,0.131347511,-3.446308876,-0.846797422,1.267848571,3,5,8,24,61,8,20,3,-136.0166667,0.830614674,7225
M098,2,1.178898478,-2.313224699,-1.285201535,0.935316204,2,32,34,22,59,2,9,0,157.6666667,0.816733616,5102
M103,2,3.097493455,0.119962862,2.960749862,-0.939166558,0,34,34,39,127,22,9,0,-58,1.59905847,43863
M138,2,0.992794655,0.198510219,1.230648681,0.107697218,0,9,9,10,103,8,10,0,113.8333333,0.707751806,5061
M165,2,1.74392265,-0.303932181,-0.96507291,-1.515543201,1,2,3,10,23,2,7,0,170.75,1.011849741,8278
M166,2,0.422651851,-0.311370608,-1.030952286,-0.695328528,25,1,26,21,43,0,3,0,40.5,1.143827865,5422
M197,2,1.962895809,0.408853922,-3.263083015,-2.697197141,0,1,1,5,4,0,4,0,74.23333333,1.305735991,5109
M002,1,-0.817273364,1.106768032,-1.378895136,-0.102565614,1,3,4,10,20,3,11,0,4.916666667,0.664379079,6144
M006,1,-2.561816985,1.271309784,-0.812776292,-0.134402128,0,5,5,19,36,10,22,3,-83.91666667,0.969933341,5069
M013,1,-2.304988469,3.905780599,1.446592252,0.679785057,1,1,2,12,45,19,21,2,-45.25,1.381854861,5100
M027,1,-3.506888277,-2.769838501,0.746639645,0.449024411,0,14,14,52,72,19,22,0,-36.33333333,0.2467903,6174
M042,1,-2.426293009,-0.627799408,0.599578487,0.058053633,1,15,16,65,76,8,41,5,219.0833333,1.01180337,5399
M059,1,-0.964810178,1.508873218,-0.457804883,-0.08577514,2,9,11,60,71,12,43,5,-127.4166667,0.749994382,3957
M075,1,-3.046914429,-0.594173277,-0.338117769,-0.136418975,0,2,2,15,41,6,37,2,-54.91666667,0.468185108,5038
M078,1,-1.106158608,1.363542741,-0.788458225,-0.314602077,2,19,21,33,98,10,51,2,-88.75,0.887275308,5059
M011,1,-2.17482461,0.483602632,0.975294809,-0.420761215,7,16,23,38,107,24,40,3,-23.5,0.452433492,8688
